ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,Function,Instance,Dimension
0.23413475636768155,-1.1445292457570582,1,0.016,F1,1,2
0.20917047645425893,-1.147608683087108,2,0.015,F1,1,2
0.3121457906973906,-0.9936815323561223,1,0.016,F1,1,2
0.12865871226504166,-1.2442770456822398,2,0.015,F1,1,2
0.12943372956075022,-1.150971302382704,2,0.0,F1,1,2
0.2883614370777244,-1.093420141456009,1,0.0,F1,1,2
0.1814096432621328,-1.109639404063028,1,0.0,F1,1,2
0.2563959969718167,-1.1451924436780034,1,0.0,F1,1,2
0.33614153027391636,-1.0948184288496037,1,0.0,F1,1,2
0.23974038889791374,-1.1192135137317776,2,0.0,F1,1,2
-0.10833741011138817,-0.7556065612307776,1,0.0,F1,2,2
-0.13004668615571877,-0.5846758172168993,1,0.0,F1,2,2
0.11213408703232393,-0.6515526152922577,1,0.0,F1,2,2
0.18523696421458322,-0.43033913863629136,1,0.0,F1,2,2
0.02016049695526064,-0.5542012132392338,1,0.0,F1,2,2
0.05978000820121057,-0.5484523482701693,1,0.0,F1,2,2
0.00939341233241257,-0.6335504467147115,1,0.0,F1,2,2
-0.17945333669645758,-0.6366735873193248,1,0.016,F1,2,2
0.11439239810220908,-1.1000570746297051,2,0.015,F1,2,2
-0.238202070276608,-0.4306865734171774,1,0.0,F1,2,2
-1.194033736984417,4.963227188612779,2,0.0,F1,3,2
0.07073759016483898,-1.2400255049113602,2,0.0,F1,3,2
0.0888682135259535,-1.2381649228724612,1,0.0,F1,3,2
0.12048115353970695,-1.166718622669177,1,0.0,F1,3,2
0.07211189564950639,-1.223866753933464,1,0.0,F1,3,2
-0.9454956714355012,3.357662607436275,2,0.016,F1,3,2
0.06145277144347299,-1.2358856737608765,1,0.0,F1,3,2
0.0701316236778401,-1.2171871755987482,1,0.0,F1,3,2
0.08121751088609909,-1.24151789546626,2,0.0,F1,3,2
0.09051254216948061,-1.1793804128986394,1,0.0,F1,3,2
0.4357829253042352,-0.6641953985260161,2,0.0,F1,4,2
0.0749284762130846,-1.0348935342792522,2,0.016,F1,4,2
0.128675604315162,-0.7909102495518332,1,0.0,F1,4,2
0.16012811483243233,-0.6693003421847235,1,0.0,F1,4,2
0.4422360849316274,-0.17498621884592946,1,0.0,F1,4,2
0.20055063519799765,-0.7868691064954794,1,0.0,F1,4,2
0.18544631225312497,-0.8099302939953761,1,0.0,F1,4,2
0.20144919798206012,-1.0503632825832083,1,0.015,F1,4,2
0.16919142658951028,-0.701130759091853,2,0.0,F1,4,2
0.36950143423575904,-0.6644041497029654,1,0.0,F1,4,2
0.10809238903557754,-1.226627882435922,1,0.0,F1,5,2
0.1090667445651134,-1.2604742713864125,1,0.0,F1,5,2
0.10794966425530461,-1.188765509887644,1,0.016,F1,5,2
0.12573480656949812,-1.2457706373062243,1,0.0,F1,5,2
0.09096729741409595,-1.248233437551719,2,0.0,F1,5,2
0.11107580065606902,-1.2048684102595502,1,0.0,F1,5,2
0.10094216494792582,-1.2584562669540205,1,0.0,F1,5,2
0.08592037601639332,-1.2168371651911774,2,0.0,F1,5,2
0.11367353639231687,-1.2376722642065625,2,0.016,F1,5,2
0.10455483449589606,-1.2042671297693097,1,0.0,F1,5,2
0.06824768497794123,-1.1083629496179184,2,0.0,F1,6,2
0.057831916057665446,-0.6431559930718587,1,0.0,F1,6,2
0.17876929893677454,-0.4557457284893016,1,0.0,F1,6,2
0.15766254510404865,-0.7665755945984314,1,0.0,F1,6,2
0.07342254447353738,-0.8574669713013141,2,0.0,F1,6,2
0.03553431533952327,-0.6054957635085279,1,0.016,F1,6,2
0.003932207579643644,-0.6395179188106743,1,0.015,F1,6,2
0.07812680794610836,-0.4379503242659797,1,0.0,F1,6,2
-0.01722203146598163,-0.936543243617888,2,0.0,F1,6,2
-0.10571548784277926,-0.8379037836775192,2,0.0,F1,6,2
0.5146068623200304,-0.6730031978619295,1,0.0,F1,7,2
0.7280295606132294,-0.22503919603918554,1,0.0,F1,7,2
0.6167412751476176,-0.4578951240171536,1,0.0,F1,7,2
0.3056080850502082,-1.090015759095749,2,0.0,F1,7,2
0.6118746585411585,-0.41976883772646634,1,0.016,F1,7,2
0.3620125966706827,-1.0561083211281699,1,0.0,F1,7,2
0.5376702272497419,-0.36862113217976855,1,0.0,F1,7,2
0.2138198907055319,-1.002610852778636,2,0.0,F1,7,2
0.3921435632427197,-0.7381968674777326,1,0.0,F1,7,2
0.5129901275250291,-0.7079840929150061,1,0.0,F1,7,2
-0.03113582483709317,-0.6412527282403873,2,0.016,F1,8,2
-0.05771840938011777,-0.8236856864025084,1,0.0,F1,8,2
0.1361582054341749,-0.37874316981502965,1,0.0,F1,8,2
0.16138051698467,-0.48382490783881593,1,0.0,F1,8,2
0.13295260693516042,-0.7985877210191319,2,0.0,F1,8,2
-0.06874373963312179,-0.6716030693375012,1,0.0,F1,8,2
-0.06619751615408452,-0.4743911702270376,1,0.0,F1,8,2
0.06060338972931362,-0.8037648969751916,1,0.0,F1,8,2
-0.11892677737629158,-0.8618414891676611,1,0.0,F1,8,2
0.3182851091184513,-0.3744499036480584,1,0.016,F1,8,2
0.1571370071454169,-0.7718575518708612,2,0.0,F1,9,2
0.19141706004240924,-0.8198557620516138,1,0.0,F1,9,2
-0.07516697318999752,-0.8966216959266275,1,0.0,F1,9,2
0.2134909875909706,-0.5580675277389684,1,0.0,F1,9,2
0.08843347873085099,-0.6787732868164222,1,0.0,F1,9,2
0.15977884450742688,-0.7727549927673203,1,0.016,F1,9,2
0.13328778580873185,-0.8143840711220043,1,0.0,F1,9,2
0.09741309391984632,-0.8945901434465968,1,0.0,F1,9,2
0.3418661166289941,-0.3552080121802028,1,0.0,F1,9,2
0.0805568678634203,-0.8868814827020235,2,0.0,F1,9,2
0.13314537626149306,-1.204888130531218,1,0.0,F1,10,2
0.12613839548092334,-1.2171219712694485,1,0.0,F1,10,2
0.141012022726586,-1.1999575148444122,1,0.0,F1,10,2
0.15454262592085857,-1.22675294799916,1,0.015,F1,10,2
0.11971274828107732,-1.19989548271146,1,0.0,F1,10,2
0.11168624903315086,-1.254101892965021,1,0.0,F1,10,2
0.12835012637011112,-1.2125210662976955,1,0.0,F1,10,2
0.11657882997931324,-1.2085950479659358,1,0.0,F1,10,2
0.13243550451359498,-1.2402788999577898,1,0.0,F1,10,2
0.14548698614277408,-1.226044157961887,1,0.015,F1,10,2
-0.10805160731623156,-0.7681559254935921,1,0.016,F1,11,2
0.18348385646507345,-0.76535290180892,1,0.0,F1,11,2
-0.07206094871674251,-0.5926392579612414,1,0.0,F1,11,2
0.14760304252005615,-0.8315187282341219,1,0.0,F1,11,2
0.00046603755851883934,-0.8711959157733724,2,0.0,F1,11,2
0.18665927132352636,-0.9241983017652649,2,0.0,F1,11,2
-0.047094715819608134,-0.666471228313045,1,0.0,F1,11,2
-0.09581787055076474,-0.4289006155604773,1,0.0,F1,11,2
-0.04727599366240434,-0.9055226802330201,1,0.0,F1,11,2
0.06851566001637077,-0.926316792276419,1,0.0,F1,11,2
-0.08575581231278533,-0.7315072800797249,1,0.0,F1,12,2
-0.0008048122006420506,-0.7700745281292689,1,0.0,F1,12,2
0.09993492857828377,-0.44215849997715617,1,0.0,F1,12,2
0.2060788074757553,-0.7137547671882722,1,0.0,F1,12,2
0.0433555122454618,-0.641149386952228,1,0.0,F1,12,2
0.19114993816098735,-0.9643551373789108,1,0.0,F1,12,2
0.1519534673755099,-0.626521692673828,1,0.0,F1,12,2
-0.08322355641090905,-0.9607979864122811,2,0.015,F1,12,2
0.021816727405384376,-0.7497069074023077,2,0.0,F1,12,2
0.20457481582411852,-0.802664930500506,1,0.0,F1,12,2
0.012087892806163526,-1.1552284651461742,1,0.0,F1,13,2
0.08247003277595354,-1.2108020987439632,1,0.0,F1,13,2
0.080447682009558,-1.1850055204882182,2,0.0,F1,13,2
0.17438589012653127,-1.0741979008204896,1,0.0,F1,13,2
0.06403060220432885,-1.076421285259025,1,0.016,F1,13,2
0.09900976697386488,-1.2571900483542404,2,0.0,F1,13,2
-0.00406238739510617,-1.2022061634282997,2,0.0,F1,13,2
0.07770512047289163,-1.1584950291551475,1,0.0,F1,13,2
0.08120939838579067,-1.0735927888257273,2,0.0,F1,13,2
0.09315611442853206,-1.1116277285716352,1,0.0,F1,13,2
0.010320099380446545,-0.7653835028399363,2,0.0,F1,14,2
0.19196297417933225,-1.2150984676484542,1,0.016,F1,14,2
